"행정구역별(1)",행정구역별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(1)",행정구역별(2),면적 (㎢),전년말주민등록인구수 (명),성별 (명),성별 (명),성별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),외국인등록인구수 (명),외국인등록인구수 (명),외국인등록인구수 (명),인구밀도 (명/㎢),인구증가율 (%)
"행정구역별(1)",행정구역별(2),소계,소계,소계,남자,여자,소계,0~14세(유소년),15~64세(생산가능),65세이상(고령),소계,남자,여자,소계,소계
"울산광역시",울주군,758.13,221842,223167,115145,108022,223167,29932,162649,30586,7297,5045,2252,294.37,0.60
"세종특별자치시",소계,464.95,314126,340575,169845,170730,340575,69570,239056,31949,5700,3587,2113,732.50,8.42
"경기도",소계,10192.51,13077153,13239666,6659995,6579671,13239666,1828203,9760122,1651341,414318,250595,163723,1298.96,1.24
"경기도",수원시,121.09,1201166,1194465,601410,593055,1194465,161288,909530,123647,40557,21499,19058,9864.27,-0.56
"경기도",성남시,141.63,954347,942724,466644,476080,942724,113832,703085,125807,17618,8878,8740,6655.78,-1.22
"경기도",의정부시,81.54,447026,451868,222590,229278,451868,55022,331574,65272,4908,2252,2656,5541.67,1.08
"경기도",안양시,58.47,576831,567044,280652,286392,567044,67734,427667,71643,7420,3670,3750,9698.03,-1.70
"경기도",부천시,53.45,843768,829996,412500,417496,829996,95810,630097,104089,25689,13486,12203,15528.46,-1.63
"경기도",광명시,38.53,326841,316552,156405,160147,316552,41092,234063,41397,5942,2995,2947,8215.73,-3.15
"경기도",평택시,458.24,495642,513027,264012,249015,513027,73724,377393,61910,24108,14114,9994,1119.56,3.51
"경기도",동두천시,95.66,96226,94768,47308,47460,94768,11125,65299,18344,3477,2029,1448,990.68,-1.52
"경기도",안산시,155.73,660343,650918,333766,317152,650918,75473,509007,66438,56467,32567,23900,4179.79,-1.43
"경기도",고양시,268.09,1044189,1066351,522749,543602,1066351,134052,797027,135272,12508,6471,6037,3977.73,2.12
"경기도",과천시,35.87,58142,58289,28638,29651,58289,7377,42828,8084,173,82,91,1625.01,0.25
"경기도",구리시,33.33,203553,199265,98968,100297,199265,25048,149058,25159,1490,750,740,5978.55,-2.11
"경기도",남양주시,458.12,681828,701830,349664,352166,701830,105943,502880,93007,7477,4619,2858,1531.98,2.93
"경기도",오산시,42.71,220070,226379,116904,109475,226379,37930,168192,20257,9696,5083,4613,5300.37,2.87
"경기도",시흥시,138.66,448687,473682,247804,225878,473682,70647,361632,41403,34697,20784,13913,3416.14,5.57
"경기도",군포시,36.42,276916,275852,136878,138974,275852,35356,206770,33726,7010,3670,3340,7574.19,-0.38
"경기도",의왕시,53.99,153932,161153,80353,80800,161153,19843,120487,20823,1191,591,600,2984.87,4.69
"경기도",하남시,92.99,254415,272455,136985,135470,272455,41927,196931,33597,2279,1324,955,2929.94,7.09
"경기도",용인시,591.26,1035126,1059609,525946,533663,1059609,166125,759667,133817,18982,10931,8051,1792.12,2.37
"경기도",파주시,673.23,451848,454040,230461,223579,454040,69512,323865,60663,11572,8407,3165,674.42,0.49
"경기도",이천시,461.42,214206,215834,111244,104590,215834,30743,155846,29245,7515,4654,2861,467.76,0.76
"경기도",안성시,553.42,183579,183405,94227,89178,183405,23656,129020,30729,11802,7638,4164,331.40,-0.09
"경기도",김포시,276.61,423170,437221,219552,217669,437221,75751,309192,52278,20335,15890,4445,1580.64,3.32
"경기도",화성시,697.77,758722,815396,422470,392926,815396,155398,590564,69434,40553,29198,11355,1168.57,7.47
"경기도",광주시,430.99,363782,372654,190774,181880,372654,52511,273799,46344,12986,8992,3994,864.65,2.44
"경기도",양주시,310.39,216951,222314,112775,109539,222314,31327,157575,33412,7464,5600,1864,716.24,2.47
"경기도",포천시,826.96,150676,148379,78231,70148,148379,15099,105665,27615,13264,10275,2989,179.43,-1.52
"경기도",여주시,608.30,111525,111083,56427,54656,111083,12272,75743,23068,3576,2269,1307,182.61,-0.40
"경기도",연천군,676.32,44633,43824,22962,20862,43824,4403,28431,10990,1015,747,268,64.80,-1.81
"경기도",가평군,843.69,62918,62415,32042,30373,62415,5783,41209,15423,1047,451,596,73.98,-0.80
"경기도",양평군,877.65,116095,116874,58654,58220,116874,12400,76026,28448,1500,679,821,133.17,0.67
"강원도",소계,16828.28,1543052,1541502,775386,766116,1541502,174132,1064484,302886,19069,10384,8685,91.35,-0.10
"강원도",춘천시,1116.37,280640,281291,138700,142591,281291,35008,198638,47645,4294,2253,2041,251.97,0.23
"강원도",원주시,868.24,344070,349215,173425,175790,349215,45995,253237,49983,3645,1938,1707,402.21,1.50
"강원도",강릉시,1040.78,212957,213442,105893,107549,213442,22870,147459,43113,2469,1271,1198,205.08,0.23
"강원도",동해시,180.20,91272,90522,45845,44677,90522,11059,62125,17338,931,583,348,502.34,-0.82
"강원도",태백시,303.52,44858,43866,22168,21698,43866,4688,28854,10324,258,78,180,144.52,-2.21
"강원도",속초시,105.76,81682,81786,40420,41366,81786,9309,57661,14816,1038,630,408,773.32,0.13
"강원도",삼척시,1187.84,68326,67228,34038,33190,67228,6509,44715,16004,773,464,309,56.60,-1.61
"강원도",홍천군,1820.31,69949,69150,35359,33791,69150,6501,45476,17173,915,520,395,37.99,-1.14
"강원도",횡성군,998.07,46726,46575,23785,22790,46575,3800,29786,12989,682,398,284,46.67,-0.32
"강원도",영월군,1127.29,39730,39127,20143,18984,39127,2970,25133,11024,281,99,182,34.71,-1.52
"강원도",평창군,1463.93,42610,42106,21550,20556,42106,3435,27471,11200,471,197,274,28.76,-1.18
"강원도",정선군,1219.78,37700,37271,19360,17911,37271,3130,24304,9837,302,93,209,30.56,-1.14
"강원도",철원군,889.68,46413,45584,23767,21817,45584,5276,30478,9830,711,442,269,51.24,-1.79
"강원도",화천군,908.93,25084,24917,13495,11422,24917,2749,16849,5319,264,122,142,27.41,-0.67
"강원도",양구군,661.82,23408,22764,12082,10682,22764,2753,15518,4493,288,114,174,34.40,-2.75
"강원도",인제군,1644.97,32136,31672,17143,14529,31672,3749,21729,6194,309,149,160,19.25,-1.44
"강원도",고성군,660.71,28144,27260,14114,13146,27260,2101,17500,7659,1132,862,270,41.04,-3.14
"강원도",양양군,630.08,27347,27726,14099,13627,27726,2230,17551,7945,306,171,135,44.00,1.39
"충청북도",소계,7406.82,1599252,1600007,810384,789623,1600007,200741,1125841,273425,40714,25482,15232,216.02,0.05
"충청북도",청주시,940.84,837749,839566,422864,416702,839566,118420,614773,106373,14148,7674,6474,892.37,0.22
"충청북도",충주시,983.48,210504,210737,106569,104168,210737,24301,146625,39811,5333,3375,1958,214.28,0.11
"충청북도",제천시,883.42,135386,134617,67459,67158,134617,14812,92015,27790,1625,779,846,152.38,-0.57
"충청북도",보은군,584.21,33680,32949,16531,16418,32949,2554,19486,10909,504,262,242,56.40,-2.17
"충청북도",옥천군,537.22,51465,51023,25707,25316,51023,4634,31832,14557,747,459,288,94.98,-0.86
"충청북도",영동군,846.02,49715,48738,24181,24557,48738,4102,30035,14601,853,531,322,57.61,-1.97
"충청북도",증평군,81.80,37317,37392,19350,18042,37392,5297,25952,6143,779,403,376,457.11,0.20
"충청북도",진천군,407.30,78218,81084,42388,38696,81084,11712,56370,13002,6073,4221,1852,199.08,3.66
"충청북도",괴산군,842.19,39133,39163,20013,19150,39163,2388,24248,12527,986,630,356,46.50,0.08
"충청북도",음성군,520.18,95830,94982,50264,44718,94982,10272,65643,19067,9452,7061,2391,182.59,-0.88
"충청북도",단양군,780.16,30255,29756,15058,14698,29756,2249,18862,8645,214,87,127,38.14,-1.65
"충청남도",소계,8245.54,2126282,2123709,1081938,1041771,2123709,281196,1455839,386674,70675,42805,27870,257.56,-0.12
"충청남도",천안시,636.08,646075,652258,332447,319811,652258,97847,487234,67177,20298,11723,8575,1025.43,0.96
"충청남도",공주시,864.15,107581,106474,53343,53131,106474,10050,69976,26448,2155,1120,1035,123.21,-1.03
"충청남도",보령시,586.56,101990,101114,51146,49968,101114,10508,65618,24988,3048,2349,699,172.38,-0.86
"충청남도",아산시,542.80,312822,314395,162694,151701,314395,52651,221699,40045,18679,11439,7240,579.21,0.50
"충청남도",서산시,742.03,174162,174690,90348,84342,174690,24526,119063,31101,4461,2452,2009,235.42,0.30
"충청남도",논산시,555.58,120230,118842,59406,59436,118842,12456,76280,30106,4139,2257,1882,213.91,-1.15
"충청남도",계룡시,60.70,43731,42971,21338,21633,42971,7214,30993,4764,217,110,107,707.92,-1.74
"충청남도",당진시,705.42,167770,167042,88299,78743,167042,24655,112454,29933,5982,3873,2109,236.80,-0.43
"충청남도",금산군,577.24,53222,52257,26309,25948,52257,4918,31726,15613,2339,1234,1105,90.53,-1.81
"충청남도",부여군,624.53,68078,66740,33049,33691,66740,5367,39322,22051,1244,669,575,106.86,-1.97
"충청남도",서천군,366.12,53922,52805,26110,26695,52805,4078,30310,18417,1400,1038,362,144.23,-2.07
"충청남도",청양군,479.10,32296,31717,15997,15720,31717,2204,18751,10762,642,335,307,66.20,-1.79
"충청남도",홍성군,446.70,101082,100423,49931,50492,100423,12688,64744,22991,2449,1645,804,224.81,-0.65
"충청남도",예산군,542.65,80083,79238,39806,39432,79238,6575,48952,23711,2250,1573,677,146.02,-1.06
"충청남도",태안군,515.89,63238,62743,31715,31028,62743,5459,38717,18567,1372,988,384,121.62,-0.78
"전라북도",소계,8069.14,1836832,1818917,904110,914807,1818917,219684,1228557,370676,33074,18300,14774,225.42,-0.98
"전라북도",전주시,206.04,651091,654394,322236,332158,654394,89708,471525,93161,8704,4092,4612,3176.05,0.51
"전라북도",군산시,396.68,272645,270131,136421,133710,270131,35563,186509,48059,6101,3965,2136,680.98,-0.92
"전라북도",익산시,506.54,294062,287771,143392,144379,287771,34032,200214,53525,5145,2679,2466,568.11,-2.14
"전라북도",정읍시,693.04,112169,110541,54736,55805,110541,11456,69595,29490,2874,1820,1054,159.50,-1.45
"전라북도",남원시,752.19,82554,81441,39884,41557,81441,8719,50672,22050,1022,446,576,108.27,-1.35
"전라북도",김제시,545.86,85331,83895,41624,42271,83895,7680,50565,25650,2029,1417,612,153.69,-1.68
"전라북도",완주군,821.06,94444,92220,47290,44930,92220,11799,59983,20438,3661,2159,1502,112.32,-2.35
"전라북도",진안군,789.09,25963,25697,12966,12731,25697,2151,14933,8613,373,158,215,32.57,-1.02
"전라북도",무주군,631.76,24589,24303,12090,12213,24303,2177,14235,7891,233,73,160,38.47,-1.16
"전라북도",장수군,533.20,23221,22441,11165,11276,22441,2063,13074,7304,377,181,196,42.09,-3.36
"전라북도",임실군,597.22,30072,28902,14659,14243,28902,2397,16675,9830,342,151,191,48.39,-3.89
"전라북도",순창군,495.79,29209,28382,13756,14626,28382,2756,16314,9312,395,159,236,57.25,-2.83
"전라북도",고창군,607.48,57041,55504,27418,28086,55504,4751,32383,18370,963,511,452,91.37,-2.69
"전라북도",부안군,493.18,54441,53295,26473,26822,53295,4432,31880,16983,855,489,366,108.06,-2.11
"전라남도",소계,12345.21,1882970,1868745,937674,931071,1868745,218428,1227769,422548,34638,22223,12415,151.37,-0.76
"전라남도",목포시,51.62,232327,229861,114565,115296,229861,32256,161518,36087,3314,1948,1366,4452.94,-1.06
"전라남도",여수시,512.08,283300,282786,143791,138995,282786,34422,196369,51995,4693,3306,1387,552.23,-0.18
"전라남도",순천시,911.06,279389,279598,139324,140274,279598,38484,198841,42273,2124,1012,1112,306.89,0.07
"전라남도",나주시,608.40,113839,114664,57668,56996,114664,14932,74475,25257,2781,1650,1131,188.47,0.72
"전라남도",광양시,463.09,156564,156750,81365,75385,156750,22144,115306,19300,1687,791,896,338.49,0.12
"전라남도",담양군,455.09,46917,46535,23719,22816,46535,3738,28837,13960,998,537,461,102.25,-0.81
"전라남도",곡성군,547.47,29624,28887,14114,14773,28887,2072,16731,10084,489,271,218,52.76,-2.49
"전라남도",구례군,443.24,27117,26563,12924,13639,26563,2152,15735,8676,221,82,139,59.93,-2.04
"전라남도",고흥군,807.37,65777,64913,31445,33468,64913,4460,34647,25806,1059,728,331,80.40,-1.31
"전라남도",보성군,664.01,42803,41420,20063,21357,41420,3130,22861,15429,488,221,267,62.38,-3.23
"전라남도",화순군,787.01,63933,62737,31061,31676,62737,6224,40227,16286,909,439,470,79.72,-1.87
"전라남도",장흥군,622.34,39312,38563,18690,19873,38563,3374,22469,12720,592,328,264,61.96,-1.91
"전라남도",강진군,500.91,36144,35286,16944,18342,35286,3149,20254,11883,456,219,237,70.44,-2.37
"전라남도",해남군,1031.31,71901,70354,34642,35712,70354,6869,41528,21957,1452,940,512,68.22,-2.15
"전라남도",영암군,612.56,54731,54593,28027,26566,54593,6027,34492,14074,4516,3444,1072,89.12,-0.25
"전라남도",무안군,449.71,81991,81105,40659,40446,81105,11573,52674,16858,1628,973,655,180.35,-1.08
"전라남도",함평군,392.10,33420,32861,16404,16457,32861,2418,18879,11564,699,408,291,83.81,-1.67
"전라남도",영광군,474.96,54127,53852,26828,27024,53852,5791,32867,15194,921,558,363,113.38,-0.51
"전라남도",장성군,518.40,45795,45739,23489,22250,45739,4667,28005,13067,1097,694,403,88.23,-0.12
"전라남도",완도군,396.76,51477,50689,25457,25232,50689,5062,29706,15921,2169,1797,372,127.76,-1.53
"전라남도",진도군,440.10,31219,30715,15093,15622,30715,2840,17790,10085,1517,1278,239,69.79,-1.61
"전라남도",신안군,655.60,41263,40274,21402,18872,40274,2644,23558,14072,828,599,229,61.43,-2.40
"경상북도",소계,19033.34,2676831,2665836,1342037,1323799,2665836,308133,1808288,549415,58119,36455,21664,140.06,-0.41
"경상북도",포항시,1130.08,510013,507025,256140,250885,507025,64404,360620,82001,6079,3702,2377,448.66,-0.59
"경상북도",경주시,1324.86,256864,255402,127928,127474,255402,26851,173912,54639,11794,7514,4280,192.78,-0.57
"경상북도",김천시,1009.80,141104,141229,70743,70486,141229,16476,93501,31252,2391,1380,1011,139.86,0.09
"경상북도",안동시,1522.10,162180,160052,79239,80813,160052,17624,104522,37906,1481,707,774,105.15,-1.31
"경상북도",구미시,615.35,421494,419742,215208,204534,419742,65604,316598,37540,4977,2824,2153,682.12,-0.42
"경상북도",영주시,670.09,106801,105067,52060,53007,105067,10826,66982,27259,1103,543,560,156.80,-1.62
"경상북도",영천시,919.21,101595,102470,52100,50370,102470,9007,65791,27672,3251,2380,871,111.48,0.86
"경상북도",상주시,1254.64,100297,100688,49378,51310,100688,9034,61832,29822,990,473,517,80.25,0.39
"경상북도",문경시,911.90,71874,72242,35391,36851,72242,6709,44642,20891,682,327,355,79.22,0.51
"경상북도",경산시,411.76,261093,263185,132616,130569,263185,32327,188779,42079,11713,7022,4691,639.17,0.80
"경상북도",군위군,614.32,23919,23843,12166,11677,23843,1207,13460,9176,538,407,131,38.81,-0.32
"경상북도",의성군,1174.73,52944,52595,25720,26875,52595,3114,28476,21005,642,371,271,44.77,-0.66
"경상북도",청송군,846.12,25678,25416,12694,12722,25416,1608,14673,9135,207,59,148,30.04,-1.02
"경상북도",영양군,815.75,17356,16993,8419,8574,16993,1255,9620,6118,205,57,148,20.83,-2.09
"경상북도",영덕군,741.22,38108,37361,17777,19584,37361,2851,21052,13458,997,782,215,50.40,-1.96
"경상북도",청도군,693.81,43057,42910,21065,21845,42910,2648,24721,15541,1042,534,508,61.85,-0.34
"경상북도",고령군,384.06,32969,32373,16548,15825,32373,2613,20112,9648,1749,1431,318,84.29,-1.81
"경상북도",성주군,616.11,44672,44015,22716,21299,44015,3112,27426,13477,1698,1314,384,71.44,-1.47
"경상북도",칠곡군,450.94,118828,117047,61063,55984,117047,16154,83405,17488,4038,2816,1222,259.56,-1.50
"경상북도",예천군,661.48,53274,55100,27032,28068,55100,6864,31847,16389,564,253,311,83.30,3.43
"경상북도",봉화군,1202.03,32843,32150,16146,16004,32150,2372,18556,11222,314,112,202,26.75,-2.11
"경상북도",울진군,990.04,50036,49314,24658,24656,49314,4767,31191,13356,1496,1310,186,49.81,-1.44
"경상북도",울릉군,72.94,9832,9617,5230,4387,9617,706,6570,2341,168,137,31,131.85,-2.19
"경상남도",소계,10540.37,3373988,3362553,1692032,1670521,3362553,442744,2371552,548257,76123,51952,24171,319.02,-0.34
"경상남도",창원시,748.03,1053601,1044740,529262,515478,1044740,135929,768660,140151,15073,9247,5826,1396.64,-0.84
"경상남도",진주시,712.86,345987,347334,171834,175500,347334,46407,245028,55899,5219,3175,2044,487.24,0.39
"경상남도",통영시,239.86,133720,131404,66053,65351,131404,17346,90163,23895,3962,3234,728,547.84,-1.73
"경상남도",사천시,398.68,113888,111925,56451,55474,111925,13937,74560,23428,3417,2664,753,280.74,-1.72
"경상남도",김해시,463.45,533672,542455,274336,268119,542455,81955,402968,57532,19013,13693,5320,1170.47,1.65
"경상남도",밀양시,798.67,106744,105552,51618,53934,105552,9658,67345,28549,2870,1411,1459,132.16,-1.12
"경상남도",거제시,403.23,250516,248276,130141,118135,248276,42808,180576,24892,8302,6057,2245,615.72,-0.89
"경상남도",양산시,485.60,348639,350759,176114,174645,350759,53109,253019,44631,6319,4116,2203,722.32,0.61
"경상남도",의령군,482.91,27667,27168,13242,13926,27168,1850,15629,9689,765,490,275,56.26,-1.80
"경상남도",함안군,416.60,67025,65700,33203,32497,65700,7644,42702,15354,3498,2885,613,157.71,-1.98
